Filename,Domain_Structure,M_r,M_s,H_c,H_cr,M_r/M_s,H_cr/H_c
PLAG186, Single_Domain,,,0.0543389671118057,0.0777651724431112,0.5082741031,1.43111245164275
PLAG187, Single_Domain,,,0.0284819277228713,0.044271521100946,0.47207269777,1.55437235610269
PLAG188, Single_Domain,,,0.0428297735539149,0.0587142365122817,0.469479904735,1.37087431569936
PLAG189, Single_Domain,,,0.063066195505566,0.0790498250382406,0.568203582,1.25344210800323
PLAG190, Single_Domain,,,0.0465086806906999,0.0648622357325571,0.47422310608,1.39462643896341
PLAG191, Single_Domain,,,0.0296100917097522,0.0429484979322116,0.501819517115,1.45046825093305
PLAG192, Single_Domain,,,0.0435515900755505,0.0612071625273439,0.48378174148,1.40539443958684
PLAG193, Single_Domain,,,0.0468971398333131,0.0583692624371304,0.48410038373,1.2446230760467
PLAG194, Single_Domain,,,0.0647665453116012,0.0793089771899707,0.493622182705,1.22453616768354
PLAG195, Single_Domain,,,0.048837588124185,0.0737055194524687,0.490796533795,1.50919654887643
PLAG196, Single_Domain,,,0.0507501720219173,0.0819339626190701,0.475435629925,1.61445684526322
PLAG197, Single_Domain,,,0.0418591316887414,0.0650295163922278,0.441565706095,1.55353237797138
PLAG198, Single_Domain,,,0.0415586601313607,0.0617068667709243,0.462460645855,1.4848136724302
PLAG199, Single_Domain,,,0.0234853965251467,0.0329022281771142,0.68642498265,1.40096541022352
PLAG200, Single_Domain,,,0.0205498402980767,0.0335075159664383,0.62959593116,1.63054872837987
PLAG201, Single_Domain,,,0.0181928243435957,0.0279982609376509,0.436043529975,1.53897275150172
PLAG202, Single_Domain,,,0.0378532756583957,0.0580116526581132,0.474617150495,1.5325398304135
PLAG203, Single_Domain,,,0.0705952986228133,0.0934450968174409,0.50911556568,1.3236730864574
PLAG204, Single_Domain,,,0.0335353652466148,0.049765114337739,0.45729209645,1.48395921653969
PLAG205, Single_Domain,,,0.0594590968092483,0.0798664770144092,0.50316779085,1.34321712404462
PLAG206, Single_Domain,,,0.0247156428058807,0.0405364571984597,0.399433173355,1.64011340982864
PLAG207, Single_Domain,,,0.0211689591139475,0.0287395693530107,0.7018734071,1.35762789272313
PLAG208, Single_Domain,,,0.0345198047444312,0.0531414049568917,0.480827740605,1.53944685812467
PLAG209, Single_Domain,,,0.0590058649372804,0.0778213440369273,0.50556064776,1.31887472744695
PLAG210, Single_Domain,,,0.0764797004390984,0.101971055522297,0.487713147885,1.33330877261343
PLAG211, Single_Domain,,,0.0253683445319426,0.0383699541389802,0.47745557312,1.5125131279523
PLAG212, Single_Domain,,,0.0423558722164445,0.0592882468367801,0.474193740825,1.39976451278842
PLAG213, Single_Domain,,,0.0211164606026262,0.0296075178371179,0.66050133665,1.40210608180406
PLAG214, Single_Domain,,,0.097350727083715,0.121430079682691,0.495787215751,1.24734640736961
PLAG215, Single_Domain,,,0.0705570541079907,0.0939928725923425,0.478582722297,1.33215415213456
PLAG216, Single_Domain,,,0.023414552473323,0.0428861597986555,0.434959542245,1.83160279691518
PLAG217, Single_Domain,,,0.0265088304989664,0.0339107287723183,0.68601867605,1.27922387121682
PLAG218, Single_Domain,,,0.0678683443662822,0.0926790146390176,0.49585839095,1.36557058381789
